Keywords,Methods
none,"['getIncludeParentLanguage', 'setRootElementProcessed', 'equals', 'unparsedEntityDecl', 'endDocument', 'getLanguage', 'hasXIncludeNamespace', 'startDTD', 'checkAndSendNotation', 'comment', 'searchForRecursiveIncludes', 'xmlDecl', 'setDocumentSource', 'setSawInclude', 'copyFeatures1', 'saveLanguage', 'getRootElementProcessed', 'getDTDHandler', 'isTopLevelIncludedItem', 'notationDecl', 'isIncludeElement', 'setDTDHandler', 'getDocumentSource', 'checkUnparsedEntity', 'setFeature', 'setSawFallback', 'isTopLevelIncludedItemViaInclude', 'copyFeatures', 'setDTDSource', 'isFallbackElement', 'isEqual', 'isTopLevelIncludedItemViaFallback', 'processXMLBaseAttributes', 'doctypeDecl', 'getIncludeParentDepth', 'getRecognizedProperties', 'getResultDepth', 'getSawInclude', 'restoreLanguage', 'isDuplicate', 'emptyElement', 'startAttlist', 'startGeneralEntity', 'attributeDecl', 'checkWhitespace', 'modifyAugmentations', 'startDocument', 'getSawFallback', 'setProperty', 'processingInstruction', 'checkMultipleRootElements', 'processXMLLangAttributes', 'startConditional', 'reset', 'checkNotation', 'scopeOfLanguage', 'textDecl', 'sameLanguageAsIncludeParent', 'elementDecl', 'getRecognizedFeatures', 'setHref', 'ignorableWhitespace', 'endAttlist', 'setXIncludeLocator', 'setDocumentHandler', 'endGeneralEntity', 'externalEntityDecl', 'getState', 'addNotation', 'getFeatureDefault', 'getDocumentHandler', 'endConditional', 'handleFallbackElement', 'isRootDocument', 'setParent', 'getDTDSource', 'startCDATA', 'isValidInHTTPHeader', 'endDTD', 'startElement', 'ignoredCharacters', 'processAttributes', 'addUnparsedEntity', 'escapeHref', 'endCDATA', 'setState', 'getPropertyDefault', 'characters', 'internalEntityDecl', 'handleIncludeElement', 'endElement', 'checkAndSendUnparsedEntity']"
create,['createInputSource']
subset,"['startExternalSubset', 'endExternalSubset']"
uri,"['getRelativeBaseURI', 'scopeOfBaseURI', 'sameBaseURIAsIncludeParent', 'getIncludeParentBaseURI', 'getBaseURI', 'getRelativeURI', 'saveBaseURI', 'restoreBaseURI', 'setupCurrentBaseURI']"
parameter,"['startParameterEntity', 'endParameterEntity']"
error,"['reportResourceError', 'setErrorReporter', 'reportFatalError', 'reportError']"
