Keywords,Methods
none,"['getSchemaDocument', 'null2EmptyString', 'getSchemaGrammar', 'expandImportList', 'addRelatedAttribute', 'setGenerateSyntheticAnnotations', 'addNamespaceDependency', 'addIDConstraintDecl', 'resolveSchemaSource', 'hashCode', 'emptyString2Null', 'retrieveGrammar', 'refreshGrammars', 'lockPool', 'unlockPool', 'reset', 'traverseSchemas', 'retrieveInitialGrammarSet', 'updateImportListFor', 'clear', 'element2Locator', 'addNewImportedGrammars', 'getSchemaDocument0', 'storeKeyRef', 'removeParticle', 'fillInLocalElemInfo', 'findDependentNamespaces', 'updateImportList', 'parseSchema', 'updateImportListWith', 'equals', 'addRelatedType', 'addImportList', 'existingGrammars', 'getGrammar', 'setSchemasVisible', 'doc2SystemId', 'resolveSchema', 'addNewGrammarLocations', 'changeRedefineGroup', 'reportSchemaWarning', 'resolveKeyRefs', 'updateImportDependencies', 'traverseLocalElements', 'getIDConstraintDecl', 'checkForDuplicateNames', 'addGrammars', 'addRelatedElement', 'containedImportedGrammar', 'getSchemaDocument1', 'getIDRegistry', 'isExistingGrammar', 'prepareForTraverse', 'schemaDocument2SystemId', 'prepareForParse', 'getIDRegistry_sub', 'findGrammar', 'getGrpOrAttrGrpRedefinedByRestriction', 'setDeclPool', 'findQName', 'setDVFactory', 'constructTrees', 'expandGrammars', 'findXSDocumentForDecl', 'validateAnnotations']"
create,"['createXNIException0', 'createTraversers', 'createAnnotationValidator', 'createXMLParseException0', 'createGrammarFrom']"
component,"['expandRelatedModelGroupComponents', 'expandRelatedTypeComponents', 'expandRelatedParticleComponents', 'expandRelatedModelGroupDefinitionComponents', 'canAddComponent', 'addGlobalComponents', 'expandRelatedAttributeGroupComponents', 'expandRelatedSimpleTypeComponents', 'expandRelatedAttributeComponents', 'addNewGrammarComponents', 'expandRelatedComplexTypeComponents', 'expandRelatedAttributeUsesComponents', 'renameRedefiningComponents', 'canAddComponents', 'expandRelatedAttributeUseComponents', 'addGlobalComponent', 'expandRelatedElementComponents', 'expandComponents', 'addGrammarComponents', 'expandRelatedComponents']"
global,"['addGlobalAttributeDecls', 'addGlobalGroupDecls', 'getGlobalAttributeDecl', 'addGlobalGroupDecl', 'getGlobalAttributeGroupDecl', 'addGlobalComponents', 'getGlobalElementDecl', 'addGlobalAttributeDecl', 'getGlobalGroupDecl', 'addGlobalElementDecls', 'addGlobalNotationDecls', 'addGlobalNotationDecl', 'getGlobalNotationDecl', 'getGlobalDecl', 'buildGlobalNameRegistries', 'getGlobalTypeDecl', 'getGlobalDeclFromGrammar', 'addGlobalAttributeGroupDecl', 'traverseGlobalDecl', 'addGlobalTypeDecl', 'addGlobalComponent', 'addGlobalAttributeGroupDecls', 'addGlobalTypeDecls', 'addGlobalElementDecl']"
content,['nonAnnotationContent']
error,"['reportSharingError', 'needReportTNSError', 'reportSchemaError']"
cache,['cacheGrammars']
