,method_name,getIncludeParentLanguage,isRootDocument,getIncludeParentDepth,getLanguage,fSeenRootElement,setRootElementProcessed,equals,fDTDHandler,notation,name,augmentations,addUnparsedEntity,unparsedEntityDecl,fDocumentHandler,endDocument,reportFatalError,scopeOfLanguage,XINCLUDE_NS_URI,fInDTD,startDTD,fSendUEAndNotationEvents,isDuplicate,notationDecl,addNotation,checkAndSendNotation,fDepth,STATE_NORMAL_PROCESSING,getState,modifyAugmentations,comment,fParentXIncludeHandler,searchForRecursiveIncludes,fIsXML11,xmlDecl,fDocumentSource,fSawInclude,setFeature,getRootElementProcessed,isTopLevelIncludedItemViaInclude,isTopLevelIncludedItemViaFallback,XINCLUDE_INCLUDE,hasXIncludeNamespace,systemId,publicId,checkNotation,checkAndSendUnparsedEntity,startExternalSubset,fNeedCopyFeatures,fSettings,ALLOW_UE_AND_NOTATION_EVENTS,fParentRelativeURI,isEqual,getRelativeBaseURI,getRelativeURI,fSawFallback,copyFeatures1,fDTDSource,XINCLUDE_FALLBACK,getSawFallback,saveBaseURI,doctypeDecl,getSawInclude,fResultDepth,expandedSystemId,STATE_EXPECT_FALLBACK,fFixupLanguage,STATE_IGNORE,setState,handleIncludeElement,isFallbackElement,isIncludeElement,handleFallbackElement,processXMLBaseAttributes,processXMLLangAttributes,checkMultipleRootElements,setSawInclude,processAttributes,restoreBaseURI,setSawFallback,emptyElement,startAttlist,startParameterEntity,startGeneralEntity,attributeDecl,reportResourceError,fXIncludeMessageFormatter,fErrorReporter,fDocLocation,baseURI,getIncludeParentBaseURI,getBaseURI,fXIncludeLocator,fCurrentLanguage,fCurrentBaseURI,CURRENT_BASE_URI,fNamespaceContext,setupCurrentBaseURI,saveLanguage,startDocument,BUFFER_SIZE,fXInclude10TextReader,fBufferSize,fChildConfig,fXInclude11TextReader,SECURITY_MANAGER,SYMBOL_TABLE,fSecurityManager,ENTITY_RESOLVER,fSymbolTable,fEntityResolver,ERROR_REPORTER,setProperty,setErrorReporter,processingInstruction,startConditional,scopeOfBaseURI,VALIDATION,JAXP_SCHEMA_LANGUAGE,PARSER_SETTINGS,SCHEMA_VALIDATION,XINCLUDE_FIXUP_BASE_URIS,DYNAMIC_VALIDATION,fState,fFixupBaseURIs,XINCLUDE_FIXUP_LANGUAGE,copyFeatures,getResultDepth,getPropertyDefault,textDecl,elementDecl,reportError,fHrefFromParent,ignorableWhitespace,XINCLUDE_INCLUDED,isTopLevelIncludedItem,endAttlist,fXIncludeChildConfig,fXPointerChildConfig,setDocumentHandler,endGeneralEntity,externalEntityDecl,FEATURE_DEFAULTS,RECOGNIZED_FEATURES,endConditional,startCDATA,endDTD,startElement,ignoredCharacters,XML_BASE_QNAME,XML_LANG_QNAME,sameLanguageAsIncludeParent,checkUnparsedEntity,sameBaseURIAsIncludeParent,gNeedEscaping,gHexChs,gAfterEscaping1,gAfterEscaping2,endCDATA,endExternalSubset,PROPERTY_DEFAULTS,RECOGNIZED_PROPERTIES,checkWhitespace,characters,internalEntityDecl,XINCLUDE_ATTR_ACCEPT_LANGUAGE,fXPtrProcessor,XINCLUDE_ATTR_PARSE,XINCLUDE_PARSE_TEXT,XINCLUDE_ATTR_ENCODING,fHasIncludeReportedContent,XPOINTER,XINCLUDE_ATTR_HREF,XINCLUDE_ATTR_ACCEPT,XINCLUDE_DEFAULT_CONFIGURATION,XINCLUDE_PARSE_XML,createInputSource,setXIncludeLocator,isValidInHTTPHeader,setParent,escapeHref,setHref,getDocumentHandler,restoreLanguage,endElement,endParameterEntity
10,searchForRecursiveIncludes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,xmlDecl,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,setDocumentSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,setSawInclude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,copyFeatures1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,saveLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,getRootElementProcessed,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,getDTDHandler,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,isTopLevelIncludedItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,notationDecl,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
